% set_pose_wall_a_wp2_bis_lab_time_res_pose  right_arm  basic_scene + wall %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	RRTStarConfigDefault	1	5	-1	-1	0
r	RRTStarConfigDefault	2	0	0.04	2.086	1
r	RRTStarConfigDefault	2	1	0.068	1.966	1
r	RRTStarConfigDefault	2	2	0.062	2.245	1
r	RRTStarConfigDefault	2	3	-1	-1	0
r	RRTStarConfigDefault	2	4	0.058	0.382	1
r	RRTStarConfigDefault	2	5	0.138	8.514	1
r	RRTStarConfigDefault	3	0	0.042	2.088	1
r	RRTStarConfigDefault	3	1	0.072	1.973	1
r	RRTStarConfigDefault	3	2	-1	-1	0
r	RRTStarConfigDefault	3	3	0.083	6.883	1
r	RRTStarConfigDefault	3	4	0.06	4.486	1
r	RRTStarConfigDefault	3	5	0.136	6.446	1
r	RRTStarConfigDefault	4	0	0.061	2.041	1
r	RRTStarConfigDefault	4	1	0.055	1.964	1
r	RRTStarConfigDefault	4	2	0.072	5.861	0
r	RRTStarConfigDefault	4	3	0.075	4.621	1
r	RRTStarConfigDefault	4	4	0.117	1.895	1
r	RRTStarConfigDefault	4	5	-1	-1	0
r	RRTConfigDefault	0	0	0.052	2.023	1
r	RRTConfigDefault	0	1	0.046	1.979	1
r	RRTConfigDefault	0	2	0.101	4.699	1
r	RRTConfigDefault	0	3	0.078	1.963	1
r	RRTConfigDefault	0	4	0.064	2.293	1
r	RRTConfigDefault	0	5	0.04	2.237	1
r	RRTConfigDefault	1	0	0.028	2.097	1
r	RRTConfigDefault	1	1	0.073	1.976	1
r	RRTConfigDefault	1	2	0.053	2.236	1
r	RRTConfigDefault	1	3	0.113	1.946	1
r	RRTConfigDefault	1	4	0.063	3.445	0
r	RRTConfigDefault	1	5	0.052	0.803	0
r	RRTConfigDefault	2	0	0.04	2.032	1
r	RRTConfigDefault	2	1	0.056	1.977	1
r	RRTConfigDefault	2	2	0.089	2.238	1
r	RRTConfigDefault	2	3	0.064	2.059	1
r	RRTConfigDefault	2	4	0.107	4.761	1
r	RRTConfigDefault	2	5	0.069	5.343	1
r	RRTConfigDefault	3	0	0.056	1.293	0
r	RRTConfigDefault	3	1	0.047	1.263	0
r	RRTConfigDefault	3	2	0.085	6.357	1
r	RRTConfigDefault	3	3	0.056	1.882	1
r	RRTConfigDefault	3	4	0.11	1.834	1
r	RRTConfigDefault	3	5	0.067	2.174	1
r	RRTConfigDefault	4	0	0.051	2.037	1
r	RRTConfigDefault	4	1	0.065	1.974	1
r	RRTConfigDefault	4	2	0.067	4.009	1
r	RRTConfigDefault	4	3	-1	-1	0
r	RRTConfigDefault	4	4	0.071	0.392	1
r	RRTConfigDefault	4	5	0.049	2.2	1
r	SBLConfigDefault	0	0	0.076	2.024	1
r	SBLConfigDefault	0	1	0.067	1.966	1
r	SBLConfigDefault	0	2	0.031	2.237	1
r	SBLConfigDefault	0	3	0.105	5.543	0
r	SBLConfigDefault	0	4	0.101	1.947	1
r	SBLConfigDefault	0	5	0.041	2.894	1
r	SBLConfigDefault	1	0	0.058	2.102	1
r	SBLConfigDefault	1	1	0.055	1.977	1
r	SBLConfigDefault	1	2	-1	-1	0
r	SBLConfigDefault	1	3	0.085	4.789	1
r	SBLConfigDefault	1	4	0.09	0.007	1
r	SBLConfigDefault	1	5	0.119	17.319	0
r	SBLConfigDefault	2	0	0.037	2.035	1
r	SBLConfigDefault	2	1	0.054	2.159	1
r	SBLConfigDefault	2	2	0.081	7.482	1
r	SBLConfigDefault	2	3	0.069	2.347	1
r	SBLConfigDefault	2	4	0.063	1.944	1
r	SBLConfigDefault	2	5	0.072	5.698	1
