% set_pose_packingboxes_b_wp_sim_time_res_pose  right_arm  basic_scene + packingboxes %
% right-left-both	planner_name	iteration	num_goal_pose	planning_time	execution_time	motion_success %
r	LBKPIECEConfigDefault	0	13	0.056	1.014	1
r	LBKPIECEConfigDefault	0	14	0.049	3.212	1
r	LBKPIECEConfigDefault	0	15	0.045	1.183	1
r	LBKPIECEConfigDefault	0	16	0.051	1.302	1
r	LBKPIECEConfigDefault	1	0	0.038	4	1
r	LBKPIECEConfigDefault	1	1	0.06	0.974	1
r	LBKPIECEConfigDefault	1	2	0.052	1.927	1
r	LBKPIECEConfigDefault	1	3	0.071	3.922	1
r	LBKPIECEConfigDefault	1	4	-1	-1	0
r	LBKPIECEConfigDefault	1	5	-1	-1	0
r	LBKPIECEConfigDefault	1	6	-1	-1	0
r	LBKPIECEConfigDefault	1	7	0.145	29.009	1
r	LBKPIECEConfigDefault	1	8	0.071	2.244	1
r	LBKPIECEConfigDefault	1	9	0.051	1.137	1
r	LBKPIECEConfigDefault	1	10	0.079	1.23	1
r	LBKPIECEConfigDefault	1	11	0.088	8.599	1
r	LBKPIECEConfigDefault	1	12	0.063	1.159	1
r	LBKPIECEConfigDefault	1	13	0.103	1.073	1
r	LBKPIECEConfigDefault	1	14	-1	-1	0
r	LBKPIECEConfigDefault	1	15	0.055	10.863	1
r	LBKPIECEConfigDefault	1	16	0.078	1.308	1
r	LBKPIECEConfigDefault	2	0	0.1	8.228	1
r	LBKPIECEConfigDefault	2	1	0.055	0.964	1
r	LBKPIECEConfigDefault	2	2	0.072	1.6	1
r	LBKPIECEConfigDefault	2	3	-1	-1	0
r	LBKPIECEConfigDefault	2	4	0.088	0.792	1
r	LBKPIECEConfigDefault	2	5	0.061	1.786	1
r	LBKPIECEConfigDefault	2	6	0.111	1.025	1
r	LBKPIECEConfigDefault	2	7	0.081	1.044	1
r	LBKPIECEConfigDefault	2	8	0.073	1.981	1
r	LBKPIECEConfigDefault	2	9	-1	-1	0
r	LBKPIECEConfigDefault	2	10	0.086	0.662	1
r	LBKPIECEConfigDefault	2	11	0.074	1.775	1
r	LBKPIECEConfigDefault	2	12	0.074	1.174	1
r	LBKPIECEConfigDefault	2	13	0.085	1.046	1
r	LBKPIECEConfigDefault	2	14	0.134	11.579	1
r	LBKPIECEConfigDefault	2	15	0.042	1.385	1
r	LBKPIECEConfigDefault	2	16	0.062	1.513	1
r	LBKPIECEConfigDefault	3	0	0.078	7.071	1
r	LBKPIECEConfigDefault	3	1	0.065	1.071	1
r	LBKPIECEConfigDefault	3	2	0.119	2.012	1
r	LBKPIECEConfigDefault	3	3	0.117	2.948	1
r	LBKPIECEConfigDefault	3	4	-1	-1	0
r	LBKPIECEConfigDefault	3	5	-1	-1	0
r	LBKPIECEConfigDefault	3	6	-1	-1	0
r	LBKPIECEConfigDefault	3	7	-1	-1	0
r	LBKPIECEConfigDefault	3	8	0.074	6.264	1
r	LBKPIECEConfigDefault	3	9	0.05	1.366	1
r	LBKPIECEConfigDefault	3	10	0.079	1.481	1
r	LBKPIECEConfigDefault	3	11	0.058	2.108	1
r	LBKPIECEConfigDefault	3	12	0.06	1.418	1
r	LBKPIECEConfigDefault	3	13	0.113	1.182	1
r	LBKPIECEConfigDefault	3	14	0.055	2.678	1
r	LBKPIECEConfigDefault	3	15	0.066	1.466	1
r	LBKPIECEConfigDefault	3	16	0.035	1.603	1
r	LBKPIECEConfigDefault	4	0	0.063	4.559	1
r	LBKPIECEConfigDefault	4	1	0.11	0.968	1
r	LBKPIECEConfigDefault	4	2	-1	-1	0
r	LBKPIECEConfigDefault	4	3	-1	-1	0
r	LBKPIECEConfigDefault	4	4	-1	-1	0
r	LBKPIECEConfigDefault	4	5	0.052	0.987	1
r	LBKPIECEConfigDefault	4	6	0.087	1.161	1
r	LBKPIECEConfigDefault	4	7	0.098	1.116	1
r	LBKPIECEConfigDefault	4	8	0.111	2.031	1
r	LBKPIECEConfigDefault	4	9	0.094	1.378	1
r	LBKPIECEConfigDefault	4	10	0.082	1.449	1
r	LBKPIECEConfigDefault	4	11	0.088	1.805	1
r	LBKPIECEConfigDefault	4	12	0.062	1.129	1
r	LBKPIECEConfigDefault	4	13	0.058	9.368	1
r	LBKPIECEConfigDefault	4	14	-1	-1	0
r	LBKPIECEConfigDefault	4	15	0.081	7.646	1
r	LBKPIECEConfigDefault	4	16	-1	-1	0
r	RRTConnectConfigDefault	0	0	-1	-1	0
r	RRTConnectConfigDefault	0	1	0.078	6.838	1
